	elbo	tsne_cost
0	-224.601318359375	6.420438289642334
1	-154.73464965820312	12.840087890625
2	-118.33048248291016	19.229572296142578
3	-101.75902557373047	25.509830474853516
4	-94.3186264038086	32.06077194213867
5	-88.46747589111328	38.21169662475586
6	-82.2175064086914	44.76519012451172
7	-76.86001586914062	51.17268371582031
8	-68.29017639160156	57.804744720458984
9	-54.105323791503906	63.900150299072266
10	-40.3538818359375	70.60162353515625
11	-47.533565521240234	76.58689880371094
12	-50.83460235595703	83.34896087646484
13	-71.20732116699219	89.4351577758789
14	-91.58838653564453	95.98896789550781
15	-91.91693115234375	102.20471954345703
16	-76.25933837890625	108.59799194335938
17	-62.873146057128906	115.11817932128906
18	-41.29975891113281	121.3951187133789
19	-26.420747756958008	127.44268798828125
20	-6.214053630828857	133.44354248046875
21	3.1236085891723633	139.84844970703125
22	13.197832107543945	145.06285095214844
23	16.136150360107422	151.12030029296875
24	19.236591339111328	158.29708862304688
25	30.001266479492188	163.50347900390625
26	30.829126358032227	169.21482849121094
27	33.01738739013672	175.9220428466797
28	36.22297668457031	181.74459838867188
29	27.854461669921875	188.08253479003906
30	30.311798095703125	194.09646606445312
31	31.682764053344727	200.3346710205078
32	22.42624855041504	206.88697814941406
33	22.552223205566406	212.5841064453125
34	25.587596893310547	218.7779541015625
35	33.44450759887695	224.79246520996094
36	33.870792388916016	231.1568145751953
37	42.94502258300781	237.5448760986328
38	44.18141174316406	243.73098754882812
39	42.14274597167969	249.74342346191406
40	48.754966735839844	255.99928283691406
41	50.483184814453125	262.15936279296875
42	49.50572967529297	268.86090087890625
43	57.57136535644531	274.7610778808594
44	56.34192657470703	281.121337890625
45	52.86109161376953	286.9315490722656
46	58.84477996826172	293.36505126953125
47	54.186954498291016	299.2611389160156
48	51.06667709350586	305.859375
49	52.09454345703125	311.8505859375
50	52.04984664916992	318.2318115234375
51	41.896053314208984	324.4439392089844
52	46.34383010864258	330.6532897949219
53	56.758358001708984	336.762939453125
54	54.10234832763672	343.1985168457031
55	37.33670425415039	349.4234924316406
56	46.27559280395508	355.87518310546875
57	50.08190155029297	361.7464599609375
58	62.1684684753418	368.02685546875
59	31.241151809692383	374.3561706542969
60	25.723499298095703	380.3619079589844
61	38.31269073486328	386.898681640625
62	31.618968963623047	393.0257263183594
63	41.17821502685547	399.39154052734375
64	51.32730484008789	405.2445983886719
65	50.5796012878418	411.6995544433594
66	53.89599609375	417.8515930175781
67	54.39908218383789	424.2131652832031
68	50.96515655517578	430.3453369140625
69	31.25937843322754	436.4154968261719
70	48.74397659301758	442.88861083984375
71	46.82716369628906	449.2933044433594
72	43.804874420166016	455.1028747558594
73	46.031532287597656	461.5750427246094
74	51.562156677246094	467.94097900390625
75	50.61125564575195	474.4091796875
76	55.817665100097656	480.28692626953125
77	61.820579528808594	486.48126220703125
78	61.712772369384766	492.776123046875
79	63.750160217285156	498.98480224609375
80	67.5088882446289	505.4127502441406
81	70.7992172241211	511.08746337890625
